person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Andrew Loog Oldham;Sweet Smell of Success;Army of Shadows;Le samouraï;Les cousins;Breathless;Touchez pas au grisbi;Le cercle rouge;The Battle of Algiers ;La haine;Brief Encounter;;;;;;
Nicholas Stoller;Alphaville;Rushmore;Broadcast News;Time Bandits;Monty Python’s Life of Brian;The Ice Storm;Amarcord;Scenes from a Marriage;Paths of Glory;Being John Malkovich;This Is Spinal Tap;;;;;
Haskell Wexler;The 39 Steps;The 400 Blows;The Battle of Algiers ;Breathless;Children of Paradise;The Cranes Are Flying;Les enfants terribles;Lacombe, Lucien;Weekend;Paisan;;;;;;
Lena Dunham ;Fish Tank;Days of Heaven;Broadcast News;Weekend;La Pointe Courte|Cléo from 5 to 7|Le bonheur|Vagabond;The Marriage of Maria Braun|Ali: Fear Eats the Soul;Picnic at Hanging Rock;Straw Dogs|Dead Ringers;Through a Glass Darkly;The War Room;;;;;;
Roger Corman;L’avventura;Bicycle Thieves;The Discreet Charm of the Bourgeoisie;8½;Ivan the Terrible, Part I;On the Waterfront;Paths of Glory;Rashomon;The Rules of the Game;The Seventh Seal;;;;;;
Zola Jesus;Stalker;Pitfall;Winter Light;Kuroneko;Letter Never Sent;The Ascent;Man Bites Dog;Eraserhead;Jigoku;Kwaidan;;;;;;
Kazu Kibuishi;Seven Samurai|Throne of Blood|Kagemusha;Ugetsu;L’Atalante;Down by Law;Three Colors: Blue;Yi Yi;Bottle Rocket;La Jetée|Sans Soleil;Grand Illusion;Ikiru;;;;;;
Donald Fagen;8½;Juliet of the Spirits;My Man Godfrey;Billy Liar;Fanny and Alexander: Theatrical Version;Day of Wrath;On the Waterfront;The Third Man;Topsy-Turvy;Withnail and I;;;;;;
Keegan McHargue;Zéro de conduite;The Scarlet Empress;Lola;Sweet Movie;Simon of the Desert;Woman in the Dunes;Jubilee;Crumb;Black Moon;Eating Raoul;;;;;;
Daniel Lopatin;Andrei Rublev|Ivan’s Childhood;Scenes from a Marriage;A Constant Forge;Dead Ringers;La haine;The Silence of the Lambs|The Vanishing;Mishima: A Life in Four Chapters;Hoop Dreams;RoboCop;Fishing with John;;;;;;
Jonathan Caouette;3 Women;Au revoir les enfants;Bad Timing;Carnival of Souls;Days of Heaven;Grey Gardens;Harold and Maude;My Own Private Idaho;Repulsion;A Woman Under the Influence;;;;;;
Kim Newman;The Tales of Hoffmann;Seconds;The Night of the Hunter;Eyes Without a Face;Rosemary’s Baby;The Spirit of the Beehive;The Most Dangerous Game;Sisters;The Living Skeleton;The Uninvited;;;;;;
Geoff Dyer;For All Mankind;Brief Encounter;Bad Timing;Elevator to the Gallows;Gimme Shelter;The Thin Red Line;The Night Porter;Koyaanisqatsi;Red Desert;Tokyo Story;;;;;;
Bong Joon-ho;The 400 Blows;Fanny and Alexander: Theatrical Version;The Ballad of Narayama;Things to Come;Lola Montès;Nashville;Life Is Sweet;The Man Who Fell to Earth;Rushmore;Being John Malkovich;;;;;;
Stella Mozgawa;Brazil;Europa;PlayTime;Solaris;Cul-de-sac;8½;Grey Gardens|The Beales of Grey Gardens;Mishima: A Life in Four Chapters;Wings of Desire;The Double Life of Véronique;;;;;;
Martin Scorsese;Paisan;The Red Shoes;The River;Ugetsu;Ashes and Diamonds;L’avventura;Salvatore Giuliano;8½;Contempt;The Leopard;;;;;;
Tim Forbes;L’Atalante;Badlands;Belle de jour;Capricious Summer;Senso|In the Realm of the Senses;Love Affair, or the Case of the Missing Switchboard Operator;Love in the Afternoon;A Man Escaped;Journey to Italy;;;;;;;
James Schamus;The Rules of the Game;Ordet;Wild Strawberries;Tokyo Story;Umberto D.;The Ascent;La Jetée;News from Home;Close-up;Blow Out;;;;;;
Christopher Hobbs;Brazil;Children of Paradise;The Leopard;The Seventh Seal;Monsieur Hulot’s Holiday;Oliver Twist;Beauty and the Beast;Vampyr;Black Narcissus;The Long Day Closes;;;;;;
K. K. Barrett;The Night of the Hunter;Wise Blood;The Element of Crime;Mr. Freedom;The Warped Ones;Red Desert;Pandora’s Box;Two-Lane Blacktop;Mishima: A Life in Four Chapters;Ratcatcher|Daisies|Seconds|Mala Noche|Bottle Rocket|Naked|The Spirit of the Beehive;;;;;;
Mary Ellen Mark;La strada;8½;La dolce vita;Au hasard Balthazar;Bicycle Thieves;Murmur of the Heart;Ikiru;Loves of a Blonde;Tokyo Story;Repulsion;;;;;;
Hossein Amini;L’avventura;Contempt;The Fire Within;La dolce vita;Le samouraï;Thief;Rosemary’s Baby;The Third Man;Ran;Jules and Jim;;;;;;
Austin Garrick;House;Seven Samurai;Breathless;Dazed and Confused;Blow Out|Thief;Notorious|M;Fish Tank;Blue Is the Warmest Color;The Killers;Videodrome|Repo Man;;;;;;
Will Oldham;Love Streams;Au hasard Balthazar;Badlands;Burden of Dreams;Chungking Express;Coup de torchon;Five Easy Pieces;The Harder They Come;Harold and Maude;Floating Weeds;Trances;Naked;Solaris;Viridiana;Walkabout;
Don Hertzfeldt;Harold and Maude;Monty Python’s Life of Brian;The Great Dictator|Modern Times;F for Fake;The Exterminating Angel;Koyaanisqatsi;Gimme Shelter;Eraserhead;RoboCop;Lonesome;By Brakhage: An Anthology, Volume One|By Brakhage: An Anthology, Volume Two;;;;;
Alex Ross Perry;The 400 Blows|Stolen Kisses|Bed and Board|Love on the Run;Brazil;Down by Law;Withnail and I;The Royal Tenenbaums;The Third Man;RoboCop;Shadows|Faces|A Woman Under the Influence|The Killing of a Chinese Bookie|Opening Night;Videodrome;Contempt;;;;;;
Robert Greene;Love Streams;News from Home;Written on the Wind;Salesman;Taste of Cherry;A Woman Is a Woman;A Married Couple;3 Women;WR: Mysteries of the Organism;Tokyo Olympiad;;;;;;
Marc Maron;The Third Man;Short Cuts;12 Angry Men;Straw Dogs;Five Easy Pieces;The Killing;Rosemary’s Baby;Blow Out;Veronika Voss;The Big Chill;;;;;;
Dick Cavett;The Third Man;Notorious;Tokyo Story;Children of Paradise;To Be or Not to Be;Sweet Smell of Success;Kind Hearts and Coronets;On the Waterfront;;;;;;;;
