person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Marc Maron;Carol Reed;Robert Altman;Sidney Lumet;Sam Peckinpah;Bob Rafelson;Stanley Kubrick;Roman Polanski;Brian De Palma;Rainer Werner Fassbinder;Lawrence Kasdan;;;;;;
Dick Cavett;Carol Reed;Alfred Hitchcock;Yasujiro Ozu;Marcel Carné;Ernst Lubitsch;Alexander Mackendrick;Robert Hamer;Elia Kazan;;;;;;;;
Atom Egoyan;David Lynch;Luis Buñuel;Catherine Breillat;Ingmar Bergman|Ingmar Bergman;Jean-Luc Godard;Federico Fellini;Elia Kazan;Louis Malle;Marco Bellocchio;;;;;;;
Ben Wheatley;Larisa Shepitko|Larisa Shepitko;Terry Gilliam;Jean-Luc Godard;Gillo Pontecorvo;David Lynch;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer;Jean-Pierre Melville;František Vláčil;Paul Schrader;John Cassavetes;;;;;;
Jesse Malin;Jim Jarmusch;Sidney Lumet;Wim Wenders;Stanley Kubrick;Vittorio De Sica;Wes Anderson;Dennis Hopper;John Cassavetes;Sidney Lumet;John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes;;;;;;
Mark Cousins;Pier Paolo Pasolini|Pier Paolo Pasolini|Pier Paolo Pasolini;Nicolas Roeg;Agnès Varda;Rainer Werner Fassbinder|Rainer Werner Fassbinder|Rainer Werner Fassbinder;Abbas Kiarostami;Akira Kurosawa;Shohei Imamura;Haskell Wexler;Ritwik Ghatak;Billy Wilder;;;;;;
Olivier Assayas;Luchino Visconti;Robert Bresson|Andrei Tarkovsky;Claire Denis|Arnaud Desplechin|Wong Kar Wai|Richard Linklater|Noah Baumbach|Wes Anderson|Edward Yang;Robert Altman;Michael Cimino;David Cronenberg;Steven Soderbergh;Federico Fellini|Jean-Pierre Melville;Ingmar Bergman|Mike Leigh;Sacha Guitry|Georges Franju;Jules Dassin|Michael Mann;;;;;
Josh and Benny Safdie;Vittorio De Sica;John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes;Abbas Kiarostami|Francesco Rosi;François Truffaut;John Lurie|Jacques Tati;Robert Bresson;Terry Zwigoff;Robert Altman;Steve James;Roman Polanski;;;;;;
André Gregory and Wallace Shawn;François Truffaut;Ingmar Bergman;Louis Malle|Jonathan Demme;Jean-Pierre Melville;David Lean;Mike Leigh;Lee Chang-dong;Terence Davies;Jean Renoir;Eric Rohmer|Eric Rohmer|Eric Rohmer|Eric Rohmer|Eric Rohmer|Eric Rohmer|Andrei Tarkovsky;;;;;;
Annie Baker;Andrei Tarkovsky;Ingmar Bergman;Chantal Akerman;Eric Rohmer;Federico Fellini;Robert Bresson;Michael Powell and Emeric Pressburger;Jean-Luc Godard;Louis Malle;James Ivory|Agnès Varda;;;;;;
